sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,69,Non-White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,34,Non-White,0,3,0,0,0,-1.0,1.0,3,1,3,High,1,10.0,0.0
Male,24,Non-White,0,4,0,1,4,-1.0,1.0,3,1,2,Low,3,1.0,1.0
Male,44,Non-White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,41,White,0,6,0,0,14,-1.0,1.0,3,1,3,Low,2,6.0,18.0
Male,43,Non-White,0,4,0,0,3,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Female,39,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,2.0,0.0
Male,20,White,0,10,0,1,0,-1.0,1.0,3,0,1,Low,9,33.0,0.0
Female,26,White,0,5,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,21,White,0,3,0,0,1,428.0,308.0,3,1,2,High,5,1.0,1.0
Male,27,White,0,4,0,0,0,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,23,Non-White,0,6,0,0,3,0.0,0.0,2,1,2,Low,4,4.0,0.0
Female,37,White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,22,White,0,3,0,0,0,0.0,0.0,2,0,1,Low,5,1.0,0.0
Male,41,Non-White,0,4,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Female,47,White,0,1,0,0,1,-20.0,490.0,3,1,3,Low,1,14.0,169.0
Male,31,Non-White,0,3,0,0,7,22.0,71.0,3,1,2,Low,2,3.0,3.0
Male,37,Non-White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,25,Non-White,0,10,0,0,3,-1.0,1.0,3,0,1,Low,9,1.0,0.0
Male,31,White,0,5,0,0,6,-1.0,1.0,3,1,3,High,4,1.0,0.0
Male,31,White,0,3,0,0,5,-1.0,1.0,3,1,3,Low,2,1.0,34.0
Male,64,Non-White,0,6,0,0,13,-1.0,1.0,3,1,3,Low,3,1.0,1.0
Male,21,Non-White,0,9,0,0,1,-1.0,1.0,3,1,2,Low,9,3.0,1.0
Male,27,White,0,2,0,0,0,0.0,0.0,2,1,2,Low,3,1.0,0.0
Female,21,White,0,4,0,0,0,-2.0,2.0,3,0,1,Low,5,1.0,0.0
Male,24,Non-White,0,-1,0,0,2,0.0,0.0,3,1,2,Low,6,1.0,0.0
Male,24,Non-White,0,4,0,0,1,0.0,1.0,3,1,2,Low,5,1.0,0.0
Male,42,White,0,3,0,0,1,-132.0,133.0,3,0,1,Low,1,104.0,0.0
Male,43,White,0,1,0,0,1,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,32,Non-White,0,3,0,0,0,-1.0,1.0,2,0,1,Low,4,1.0,0.0
Female,54,Non-White,0,9,0,0,0,-1.0,1.0,3,0,1,Low,5,110.0,0.0
Male,44,Non-White,0,6,0,0,8,0.0,4296.0,2,0,1,Low,4,1.0,0.0
Male,27,Non-White,0,3,0,0,8,-1.0,1.0,3,1,2,High,3,17.0,0.0
Female,36,White,0,3,0,0,3,53.0,95.0,3,0,1,Low,1,1.0,0.0
Male,26,Non-White,0,7,0,1,5,-1.0,1.0,3,1,2,Low,7,1.0,27.0
Male,33,Non-White,0,10,0,0,0,0.0,1.0,3,1,3,High,6,37.0,0.0
Male,30,White,0,9,0,0,9,0.0,0.0,3,1,3,Low,10,44.0,1.0
Male,32,Non-White,0,8,0,0,4,-1.0,1.0,3,1,2,Low,3,1.0,2.0
Male,63,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,27,Non-White,0,3,0,0,2,0.0,1.0,3,0,1,Low,3,1.0,0.0
Male,55,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,2.0,0.0
Male,32,Non-White,0,10,0,0,15,0.0,0.0,3,0,1,Low,8,92.0,0.0
Male,38,Non-White,0,3,0,2,5,-1.0,1.0,3,0,1,Low,4,165.0,0.0
Male,53,White,0,5,0,0,19,-1.0,1.0,3,0,1,Low,2,5.0,0.0
Male,49,Non-White,0,3,0,0,7,-1.0,0.0,3,1,2,Low,2,3.0,0.0
Male,26,White,0,8,0,2,6,81.0,382.0,2,0,1,Low,8,12.0,0.0
Female,33,White,0,5,0,0,4,-1.0,1.0,2,1,3,Low,2,11.0,1.0
Male,24,White,0,2,0,0,1,0.0,0.0,2,1,3,Low,3,1.0,3.0
Male,34,Non-White,2,9,1,3,21,0.0,0.0,3,1,2,Low,6,33.0,178.0
Male,29,White,0,2,0,0,0,0.0,1.0,2,0,1,Low,2,-1.0,0.0
Female,21,Non-White,0,8,0,0,2,-1.0,1.0,3,0,1,Low,8,79.0,0.0
Male,51,Non-White,0,1,0,0,2,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,29,White,0,2,0,0,2,-1.0,1.0,2,1,2,Low,2,1.0,1.0
Male,25,Non-White,0,6,0,0,0,-1.0,1.0,3,0,1,Low,7,271.0,0.0
Female,51,Non-White,0,2,0,0,7,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,28,White,0,7,0,0,8,0.0,0.0,3,0,1,Low,4,1.0,0.0
Male,36,Non-White,0,9,0,0,22,-1.0,1.0,2,0,1,Low,10,197.0,0.0
Male,29,Non-White,0,7,0,0,0,0.0,0.0,3,1,2,Low,2,1.0,36.0
Male,29,Non-White,0,1,0,0,0,-1.0,2.0,2,0,1,Low,2,1.0,0.0
Male,25,White,0,10,0,0,9,-1.0,1.0,2,1,3,High,9,6.0,9.0
Male,35,Non-White,1,8,0,4,13,-1.0,1.0,3,1,2,High,3,1.0,1.0
Male,49,White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,34,Non-White,0,3,0,0,4,-59.0,59.0,2,1,2,Low,2,51.0,0.0
Male,29,Non-White,0,4,0,0,0,0.0,1.0,3,0,1,Low,3,1.0,0.0
Male,29,White,0,2,0,0,1,-24.0,24.0,3,1,2,Low,2,1.0,1.0
Female,28,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,51,White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,1,24.0,0.0
Male,25,White,0,3,0,0,0,0.0,0.0,3,0,1,Low,3,1.0,0.0
Male,48,White,0,6,0,0,20,302.0,562.0,3,1,2,Low,4,10.0,0.0
